code|name|applies_to|active
3000|Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles|product|TRUE
3010|Componentes estructurales y formas básicas|product|TRUE
3011|Hormigón, cemento y yeso|product|TRUE
3012|Carreteras y paisaje|product|TRUE
3013|Productos de construcción estructurales|product|TRUE
3014|Aislamiento|product|TRUE
3015|Materiales para acabado de exteriores|product|TRUE
3016|Materiales de acabado de interiores|product|TRUE
3017|Puertas y ventanas y vidrio|product|TRUE
3018|Instalaciones de plomería|product|TRUE
3019|Equipo de apoyo para Construcción y Mantenimiento|product|TRUE
3024|Componentes de construcción de estructura portátil|product|TRUE
3025|Estructuras y materiales de minería subterránea|product|TRUE
3026|Materiales estructurales |product|TRUE
3100|Componentes y Suministros de Manufactura|product|TRUE
3110|Piezas de fundición y ensambles de piezas de fundición|product|TRUE
3111|Extrusiones|product|TRUE
3112|Piezas fundidas maquinadas|product|TRUE
3113|Forjaduras|product|TRUE
3114|Molduras|product|TRUE
3115|Cuerda, cadena, cable, alambre y correa|product|TRUE
3116|Ferretería|product|TRUE
3117|Rodamientos, cojinetes ruedas y engranajes |product|TRUE
3118|Empaques, glándulas, fundas y cubiertas|product|TRUE
3119|Materiales de afilado pulido y alisado|product|TRUE
3120|Adhesivos y selladores|product|TRUE
3121|Pinturas y bases y acabados|product|TRUE
3122|Extractos de teñir y de curtir|product|TRUE
3123|Materia prima en placas o barras labradas|product|TRUE
3124|Óptica industrial|product|TRUE
3125|Sistemas de control neumático, hidráulico o eléctrico|product|TRUE
3126|Cubiertas, cajas y envolturas|product|TRUE
3127|Piezas hechas a máquina|product|TRUE
3128|Componentes de placa y estampados|product|TRUE
3129|Extrusiones maquinadas|product|TRUE
3130|Forjas labradas|product|TRUE
3131|Ensambles de tubería fabricada|product|TRUE
3132|Ensambles fabricados de material en barras|product|TRUE
3133|Ensambles estructurales fabricados|product|TRUE
3134|Ensambles de lámina fabricado|product|TRUE
3135|Ensambles de tubería fabricada|product|TRUE
3136|Ensambles de placa fabricados|product|TRUE
3137|Refractarios|product|TRUE
3138|Imanes y materiales magnéticos|product|TRUE
3139|Maquinados|product|TRUE
3140|Empaques|product|TRUE
3141|Sellos|product|TRUE
3142|Partes sinterizadas|product|TRUE
3200|Componentes y Suministros Electrónicos|product|TRUE
3210|Circuitos impresos, circuitos integrados y micro ensamblajes|product|TRUE
3211|Dispositivo semiconductor discreto|product|TRUE
3212|Componentes pasivos discretos|product|TRUE
3213|Piezas de componentes y hardware electrónicos y accesorios|product|TRUE
3214|Dispositivos de tubo electrónico y accesorios|product|TRUE
3215|Dispositivos y componentes y accesorios de control de automatización|product|TRUE
3900|Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación|product|TRUE
3910|Lámparas y bombillas y componentes para lámparas|product|TRUE
3911|Iluminación, artefactos y accesorios|product|TRUE
3912|Equipos, suministros y componentes eléctricos|product|TRUE
3913|Dispositivos y accesorios y suministros de manejo de cable eléctrico|product|TRUE
4000|Componentes y Equipos para Distribución y Sistemas de Acondicionamiento|product|TRUE
4010|Calefacción, ventilación y circulación del aire|product|TRUE
4014|Distribución de fluidos y gas|product|TRUE
4015|Bombas y compresores industriales|product|TRUE
4016|Filtrado y purificación industrial|product|TRUE
4017|Instalaciones de tubos y entubamientos|product|TRUE
4018|Instalaciones de tubos y tuberías|product|TRUE
4100|Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas|product|TRUE
4110|Equipo de laboratorio y científico|product|TRUE
4111|Instrumentos de medida, observación y ensayo|product|TRUE
4112|Suministros y accesorios de laboratorio|product|TRUE
4200|Equipo Médico, Accesorios y Suministros|product|TRUE
4212|Equipos y suministros veterinarios|product|TRUE
4213|Telas y vestidos médicos|product|TRUE
4214|Suministros, productos de tratamiento y cuidado del enfermo|product|TRUE
4215|Equipos y suministros dentales|product|TRUE
4216|Equipo de diálisis y suministros|product|TRUE
4217|Productos para los servicios médicos de urgencias y campo|product|TRUE
4218|Productos de examen y control del paciente|product|TRUE
4219|Productos de centro médico|product|TRUE
4220|Productos de hacer imágenes diagnósticas médicas y de medicina nuclear|product|TRUE
4221|Ayuda para personas con desafíos físicos para vivir independiente|product|TRUE
4222|Productos para administración intravenosa y arterial|product|TRUE
4223|Nutrición clínica|product|TRUE
4224|Productos medicinales de deportes y ortopédicos y prótesis|product|TRUE
4225|Productos de rehabilitación y terapia ocupacional y física|product|TRUE
4226|Equipo y suministros post mortem y funerarios|product|TRUE
4227|Productos de resucitación, anestesia y respiratorio|product|TRUE
4228|Productos para la esterilización médica|product|TRUE
4229|Productos quirúrgicos|product|TRUE
4230|Suministros para formación y estudios de medicina|product|TRUE
4231|Productos para el cuidado de heridas|product|TRUE
4232|Implantes ortopédicos quirúrgicos|product|TRUE
4300|Difusión de Tecnologías de Información y Telecomunicaciones|product|TRUE
4319|Dispositivos de comunicaciones y accesorios|product|TRUE
4320|Componentes para tecnología de la información, difusión o telecomunicaciones|product|TRUE
